date,home,away,home_goals,away_goals
2018-05-05,Atletico de Bilbao,Betis,2,0
2018-05-05,Celta,Deportivo,1,1
2018-05-06,Las Palmas,Getafe,0,1
2018-05-06,Malaga,Alaves,0,3
2018-05-06,Atletico de Madrid,Espanol,0,2
2018-05-06,Barcelona,Real Madrid,2,2
2018-05-07,Leganes,Levante,0,3
2018-05-09,Barcelona,Villarreal,5,1
2018-05-09,Sevilla,Real Madrid,3,2
2018-05-12,Girona,Valencia,0,1
2018-05-12,Alaves,Atletico de Bilbao,3,1
2018-05-12,Deportivo,Villarreal,2,4
2018-05-12,Betis,Sevilla,2,2
2018-05-12,Getafe,Atletico de Madrid,0,1
2018-05-12,Real Sociedad,Leganes,3,2
2018-05-12,Eibar,Las Palmas,1,0
2018-05-12,Real Madrid,Celta,6,0
2018-05-13,Espanol,Malaga,4,1
2018-05-13,Levante,Barcelona,5,4
2018-05-19,Villarreal,Real Madrid,2,2
2018-05-19,Leganes,Betis,3,2
2018-05-19,Las Palmas,Girona,1,2
2018-05-19,Malaga,Getafe,0,1
2018-05-19,Sevilla,Alaves,1,0
2018-05-19,Celta,Levante,4,2
2018-05-20,Barcelona,Real Sociedad,1,0
2018-05-20,Valencia,Deportivo,2,1
2018-05-20,Atletico de Madrid,Eibar,2,2
2018-05-20,Atletico de Bilbao,Espanol,0,1
2018-08-17,Girona,Valladolid,0,0
2018-08-17,Betis,Levante,0,3
2018-08-18,Barcelona,Alaves,3,0
2018-08-18,Celta,Espanol,1,1
2018-08-18,Villarreal,Real Sociedad,1,2
2018-08-19,Real Madrid,Getafe,2,0
2018-08-19,Rayo Vallecano,Sevilla,1,4
2018-08-19,Eibar,Huesca,1,2
2018-08-20,Valencia,Atletico de Madrid,1,1
2018-08-20,Atletico de Bilbao,Leganes,2,1
2018-08-24,Getafe,Eibar,2,0
2018-08-24,Leganes,Real Sociedad,2,2
2018-08-25,Atletico de Madrid,Rayo Vallecano,1,0
2018-08-25,Alaves,Betis,0,0
2018-08-25,Valladolid,Barcelona,0,1
2018-08-26,Espanol,Valencia,2,0
2018-08-26,Girona,Real Madrid,1,4
2018-08-26,Sevilla,Villarreal,0,0
2018-08-27,Levante,Celta,1,2
2018-08-27,Atletico de Bilbao,Huesca,2,2
2018-08-31,Getafe,Valladolid,0,0
2018-08-31,Eibar,Real Sociedad,2,1
2018-08-31,Villarreal,Girona,0,1
2018-09-01,Real Madrid,Leganes,4,1
2018-09-01,Celta,Atletico de Madrid,2,0
2018-09-02,Betis,Sevilla,1,0
2018-09-02,Alaves,Espanol,2,1
2018-09-02,Barcelona,Huesca,8,2
2018-09-02,Levante,Valencia,2,2
2018-09-14,Huesca,Rayo Vallecano,0,1
2018-09-15,Real Sociedad,Barcelona,1,2
2018-09-15,Atletico de Bilbao,Real Madrid,1,1
2018-09-15,Valencia,Betis,0,0
2018-09-15,Atletico de Madrid,Eibar,1,1
2018-09-16,Espanol,Levante,1,0
2018-09-16,Valladolid,Alaves,0,1
2018-09-16,Sevilla,Getafe,0,2
2018-09-16,Leganes,Villarreal,0,1
2018-09-17,Girona,Celta,3,2
2018-09-21,Huesca,Real Sociedad,0,1
2018-09-22,Celta,Valladolid,3,3
2018-09-22,Eibar,Leganes,1,0
2018-09-22,Rayo Vallecano,Alaves,1,5
2018-09-22,Getafe,Atletico de Madrid,0,2
2018-09-22,Real Madrid,Espanol,1,0
2018-09-23,Betis,Atletico de Bilbao,2,2
2018-09-23,Levante,Sevilla,2,6
2018-09-23,Barcelona,Girona,2,2
2018-09-23,Villarreal,Valencia,0,0
2018-09-25,Atletico de Madrid,Huesca,3,0
2018-09-25,Espanol,Eibar,1,0
2018-09-25,Real Sociedad,Rayo Vallecano,2,2
2018-09-26,Sevilla,Real Madrid,3,0
2018-09-26,Valencia,Celta,1,1
2018-09-26,Leganes,Barcelona,2,1
2018-09-26,Atletico de Bilbao,Villarreal,0,3
2018-09-27,Alaves,Getafe,1,1
2018-09-27,Valladolid,Levante,2,1
2018-09-27,Girona,Betis,0,1
2018-09-28,Rayo Vallecano,Espanol,2,2
2018-09-29,Real Sociedad,Valencia,0,1
2018-09-29,Barcelona,Atletico de Bilbao,1,1
2018-09-29,Eibar,Sevilla,1,3
2018-09-29,Real Madrid,Atletico de Madrid,0,0
2018-09-30,Betis,Leganes,1,0
2018-09-30,Levante,Alaves,2,1
2018-09-30,Villarreal,Valladolid,0,1
2018-09-30,Huesca,Girona,1,1
2018-10-01,Celta,Getafe,1,1
2018-10-05,Atletico de Bilbao,Real Sociedad,1,3
2018-10-06,Girona,Eibar,2,3
2018-10-06,Getafe,Levante,0,1
2018-10-06,Leganes,Rayo Vallecano,1,0
